,Title
0,Serious games in business process management: a systematic literature review
1,
2,A collaborative application of design thinking and Taguchi approach in restaurant service design for food wellbeing
3,
4,The visibility of health web portals for teens: a hyperlink analysis
5,
6,Functional diversity literacy
7,
8,Person-centred rhetoric in chronic care: a review of health policies
9,
10,Centering community in COVID-19 responses: refugee women's livelihoods in a global pandemic
11,
12,Resilient companies in the time of Covid-19 pandemic: a case study approach
13,
14,Bleak horizon: a survey on new books on higher education
15,
16,Enhancing access to digital information resources on heritage: A case of development of a taxonomy at the Integrated Museum and Archives System in Singapore
17,
18,US and global efforts to expand the use of electronic health records
19,
20,Online resilience support groups during the COVID-19 pandemic: the Philippine experience
21,
22,Common causes in grassroot development: a case for community-based and community-driven response in the postpandemic era
23,
24,Towards an everyday life information literacy mind-set: a review of literature
25,
26,Health-care marketing in an omni-channel environment: Exploring telemedicine and other digital touchpoints
27,
28,Factors driving continued use of online health promotion competitions: Evidence from an online weight-loss community
29,
30,Opportunities for reducing socioeconomic inequalities in the mental health of children and young people – reducing adversity and increasing resilience
31,
32,"Online mental health communities, self-efficacy and transition to further support"
33,
34,"The new dimensions of collaboration: mega and intelligent communities, ICT and wellbeing"
35,
36,"Discursive power and resistance in the information world maps of lesbian, gay, bisexual, transgender, queer, intersex and asexual community leaders"
37,
38,How does mHealth service quality influences adoption?
39,
40,The world to come: what we can do now
41,User perspectives on cannabis and SSRIs as treatment for depression
42,
43,Online health communities: An assessment of the influence of participation on patient empowerment outcomes
44,
45,How the Internet of Things can help knowledge management: a case study from the automotive domain
46,
47,What older adults do in online communities when they co-create and co-destruct value
48,
49,Reducing social isolation and promoting well being in older people
50,
51,Empowering or misleading? Online health information provision challenges
52,
53,Dialling up social care for older people
54,
55,Large-scale health system transformation in the United Kingdom: Implementing the new care models in the NHS
56,
57,Technology and ethical/moral dilemmas of higher education in the twenty‐first century
58,
59,The role of information systems and knowledge codification for service provision strategies
60,
61,Brickbats and bouquets for marketing
62,
63,Impact of conspiracy beliefs on Covid-19 fear and health protective behavior: a case of university students
64,
65,Enablers of technology agility in higher education
66,
67,Service robots: value co-creation and co-destruction in elderly care networks
68,
69,The impact of body-worn cameras on the incidence of occupational violence towards paramedics: a systematic review
70,
71,Investigating the repurchase intention of Bitcoin: empirical evidence from China
72,
73,Advanced videogame consoles ‐ a new and unrecognised threat to secure service provision?
74,
75,Ethical standards for online advice giving: an overview of the issues for business and financial advisers
76,
77,Property Journals Index 1990‐1999
78,Property Journals Index 1990‐1999
79,Improving mobile health apps usage: a quantitative study on mPower data of Parkinson's disease
80,
81,Microsoft Teams and team performance in the COVID-19 pandemic within an NHS Trust Community Service in North-West England
82,
83,On (not) learning from self-neglect safeguarding adult reviews
84,
85,Netnography as a tool for understanding customers: implications for service research and practice
86,
87,Negotiating interdisciplinary practice under the COVID-19 crisis: opportunities and challenges for tourism research
88,
89,The lived experience of UK health communication professionals during the Covid-19 pandemic
90,
91,Development of the carer well‐being and support (CWS) questionnaire
92,
93,"Transformative thinking, transformative doing"
94,Integrated care in Herefordshire: a case study
95,
96,Hospital disaster management’s understanding of built environment impacts on healthcare services during extreme weather events
97,
98,Reconsidering the digital divide: an analytical framework from access to appropriation
99,
100,Guest editorial: Marketing as an Integrator in Integrated Care
101,"Radical change in healthcare organization: Mapping transition between templates, enabling factors, and implementation processes"
102,
103,Mobile health intervention and COVID-19 pandemic outbreak: insights from Indian context
104,
105,"Supporting the development of skills for extended practice in biomedical science: Pasta, vegetables and mushy peas!"
106,
107,A meta-analysis of e-health applications acceptance: Moderating impact of user types and e-health application types
108,
109,Impact of sustainability strategies on small- and medium-sized enterprises in Zimbabwe
110,
111,Does healthcare service quality affect outbound medical tourists’ satisfaction and loyalty? Experience from a developing country
112,
113,Physician directed information prescription service (IPs): barriers and drivers
114,
115,"On the Horizon: The 2014 Consumer Electronics Show in Las Vegas, Part 1"
116,
117,"Determinants of consumer‐driven healthcare: Self‐confidence in information search, health literacy, and trust in information sources"
118,
119,An ethnographic study on leadership-as-practice in trauma simulation training
120,
121,Evaluating clinical trial management systems: a simulation approach
122,
123,Variation in rates of inpatient admissions and lengths of stay experienced by adults with learning disabilities in England
124,
125,System transformation in palliative and end of life care: developing a model for excellence
126,
127,Challenges for developing health-care knowledge in the digital age
128,
129,Knowledge management visualisation in regional innovation system collaborative decision-making
130,
131,"Social media platforms and sleep problems: a systematic literature review, synthesis and framework for future research"
132,
133,Review of global mental health research in the construction industry: A science mapping approach
134,
135,Narrative and aesthetics as antecedents of perceived learning in serious games
136,
137,Adaptive leadership of doctors during COVID-19
138,
139,Exploratory study of personal health information management using health literacy model
140,
141,Multi-agency safeguarding arrangements: overcoming the challenges of Covid-19 measures
142,
143,Regulating wellbeing in the brave new quantified workplace
144,
145,Web-based home-hazard modification app for falls prevention: the views of those at risk of falling and their carers
146,
147,Salutogenic workplace design: A conceptual framework for supporting sense of coherence through environmental resources
148,
149,Pandemic vulnerability knowledge visualisation for strategic decision-making: a COVID-19 index for government response in Australia
150,
151,Trust building in a Norwegian municipal acute ward
152,
153,Data privacy-related behavior and concerns of activity tracking technology users from Germany and the USA
154,
155,Impact of IoT on geriatric telehealth
156,
157,A phenomenological perspective on clinical communication and interaction: The case of electronic health records
158,
159,Commentary on a “unified approach to behaviours that challenge”: my freedom – the perspective of people with learning disabilities
160,
161,Information seeking and use in the context of minimalist lifestyles
162,
163,Telecare at a crossroads? Finding researchable questions
164,
165,"The role of specialist inpatient rehabilitation services for people with intellectual disability, autism and mental health, behavioural or forensic needs"
166,
167,A special issue of abstracted articles on European and international management issues
168,Social care for the migrant population in Spain: needs and strengths of organisations during the COVID-19 pandemic and infodemic
169,
170,Insight into healthcare design: lessons learned in two university hospitals
171,
172,Workplace learning – a healthcare perspective
173,
174,Training needs analysis of nurses caring for individuals an intellectual disability and or autism spectrum disorder in a forensic service
175,
176,Stressed out public servants? Testing the stress appraisal of psychological and emotional stressors on stress reactions through psychological capital
177,
178,Modeling the contingent role of technological optimism on customer satisfaction with self-service technologies: A case of cash-recycling ATMs
179,
180,HRM and workplace innovations: formulating research questions
181,
182,Returning to school: children and young people living with chronic illness
183,
184,How does entrepreneurial orientation and SDG orientation of CEOs evolve before and during a pandemic
185,
186,The impact of masculinity upon men with psychosis who reside in secure forensic settings
187,
188,Identifying health information needs of senior online communities users: a text mining approach
189,
190,Property Journals Index 1990‐2000
191,Property Journals Index 1990‐2000
192,Computerizing Trail Making Test for long-term cognitive self-assessment
193,
194,The unique and valuable support provided by mentoring and befriending
