,Title
0,Telemedicine and mental health: coming of age?
1,79 “We all have stories to tell”: A qualitative exploration of the healthcare experiences of a community sample of pregnant and parenting youth through digital storytelling Get access
2,22.C. Workshop: Digital interventions in public mental health: current impact and future directions
3,Delivering healthcare remotely to cardiovascular patients during COVID-19: A rapid review of the evidence
4,Patients’ attitudes to and experience of the use of technology in mental health in Ireland
5,"S105. DIGITAL BIOMARKERS FOR THE ASSESSMENT OF COGNITIVE, BEHAVIORAL AND FUNCTIONAL OUTCOMES IN INDIVIDUALS WITH SCHIZOPHRENIA"
6,4.O. Workshop: Using data to save lives in times of COVID-19 and beyond
7,Human centered AI design for clinical monitoring and data management
8,Dealing with COVID-19 Barriers to Care: Digital Platform to support and monitor chronic patients
9,Healthcare Stereotype Threat and Health Outcomes Among LGB Individuals Get access
10,eMental Health Literacy and Psychological Distress as Predictors of Barriers to Mental Health Services
11,The Association Between Cognitive Function and Preventive Care Service Utilization Among U.S. Chinese Older Adults
12,28.L. Workshop: Promoting the mental health of refugee minors: mobilising key stakeholders
13,Health workforce protection and preparedness during the COVID-19 pandemic: a tool for the rapid assessment of EU health systems
14,27. PRACTICAL STRATEGIES TO REDUCE PREMATURE MORTALITY AND IMPROVE HEALTH IN PEOPLE WITH SCHIZOPHRENIA: OUTCOMES IN REAL-WORLD SETTINGS
15,#UsapTayo: Utilizing Tweetchat for Mental Health Advocacy in the Philippines
16,The Role of Peer Specialists in Engaging Aging Adults in Recovery and Wellness Behaviors
17,Family informatics Get access
18,European Green deal and Climate Pact: A roadmap for digital public health
19,376 dCBT-I with Chatbot and Artificial Intelligence: a feasibility study in Brazil Get access
20,376 dCBT-I with Chatbot and Artificial Intelligence: a feasibility study in Brazil Get access
21,10.C. Round table: European public health week: how to unite a continent to celebrate healthy populations
22,"N10 Living with and managing symptoms of fatigue, pain and urgency in IBD: an exploratory qualitative study"
23,Use of Video-Enabled Tablet for Virtual Care Among Older Veterans
24,Barriers and Facilitators for Older Adults with Serious Mental Illness to Utilizing Medicaid Smartphone Services
25,"Problems faced by people living at home with dementia and incontinence: causes, consequences and potential solutions"
26,1269. HIV Testing in a Large Community Health Center Serving a Multi-cultural Population: A Qualitative Study of Providers
27,"29.C. Workshop: Assessment, regulation and use of apps for health management: where we are and where we are going?"
28,Using telehealth consultations for healthcare provision to patients from non-Indigenous racial/ethnic minorities: a systematic review
29,Smartphone apps for the treatment and prevention of mental health conditions: status and considerations
30,Digital biomarkers and digital phenotyping in mental health care and prevention
31,Introduction to the EJPH supplement ‘E-mental health: exploring the evidence base and stakeholders’ perspectives on Internet-based interventions for the prevention of mental health conditions’
32,Towards reimbursement of mobile digital health applications? An international comparison of practices
33,Which are the opportunities and current challenges for the use of polygenic risk scores in risk prediction and the prevention of common adult onset conditions?
34,Round table: AI and Big Data: Ethical Challenges and Health Opportunities
35,The application of Health Technology Assessment to health apps: what is the evidence?
36,Use and impact of smartphone apps in mental health
37,Stakeholders’ views on online interventions to prevent common mental health disorders in adults implemented into existing healthcare systems in Europe
38,TeleHealth in the digital revolution era
39,‘Digital pills’ for mental diseases: an ethical and social analysis of the issues behind the concept
40,T102. TELEPROM-Y: IMPROVING ACCESS AND EXPERIENCE OF MENTAL HEALTHCARE FOR YOUTH THROUGH VIRTUAL MODELS OF CARE
41,A data-based participatory approach for health equity and digital inclusion: prioritizing stakeholders Get access
42,Transforming Healthcare Safely Get access
43,SELF-RATED HEALTH AMONG OLDER BLACKS AND PERFORMANCE ON PSYCHOMETRIC TESTS
44,"Applying Community Based Participatory Research on sexual health & sexual violence with refugees, asylum seekers and undocumented migrants in Europe and the European Neighbourhood"
45,European Public Health News
46,Development of a Perceived Access Inventory for Community Care Mental Healthcare Services for Veterans
47,Building partnerships: a pilot study of stakeholders' attitudes on technology disruption in behavioral health delivery and research Get access
48,"‘The WOW factors’: comparing workforce organization and well-being for doctors, nurses, midwives and paramedics in England"
49,"REDEFINING HEALTHCARE: A NOVEL, SCIENCE-BASED, EXPERIENTIAL FRAMEWORK FOR IMPROVING PATIENT OUTCOMES IN INFLAMMATORY BOWEL DISEASE"
50,Mobile Phone Ownership and Endorsement of “mHealth” Among People With Psychosis: A Meta-analysis of Cross-sectional Studies
51,Digital health promotion: promise and peril
52,The Needle in the Haystack: Identifying Credible Mobile Health Apps for Pediatric Populations during a Pandemic and beyond
53,Taking care of the ordinary in extraordinary times—delayed routine care means more morbidity and pre-mature mortality
54,A mixed-method evaluation study of a comprehensive cross-cultural training program in Stockholm
55,Considerations and Future Directions for Conducting Clinical Research With Pediatric Populations During the COVID-19 Pandemic
56,ZIKA: improved surveillance and forecast of Zika virus in Brazil
57,eHealth for service delivery in conflict: a narrative review of the application of eHealth technologies in contemporary conflict settings
58,Skills building seminar: Capacity-building for implementing integrated care
59,Ethical challenges associated with health-related big data research
60,Advancing Digital Health Equity: A Policy Paper of the Infectious Diseases Society of America and the HIV Medicine Association
61,Student–senior isolation prevention partnership: a Canada-wide programme to mitigate social exclusion during the COVID-19 pandemic
62,T101. ABERRANT SALIENCE PREDICTS PSYCHOTIC-LIKE AND DISORGANIZED SYMPTOMS IN DAILY LIFE: AN EXPERIENCE SAMPLING STUDY
63,Harnessing of real-world data and real-world evidence using digital tools: utility and potential models in rheumatology practice Get access
64,Digital Health and the Climate Change: Introductory key concepts and Research Topics
65,Using e-health to shorten treatment delay in patients with severe aortic stenosis
66,Mental health: in the spotlight but a long way to go
67,T99. HARNESSING DIGITAL TECHNOLOGIES TO ASSESS AND TREAT COGNITIVE SYMPTOMS IN SCHIZOPHRENIA
68,Covid-19 and the ‘new normal’: are remote video consultations here to stay?
69,"There’s an App for That: Context, Assumptions, Possibilities and Potential Pitfalls In the Use of Digital Technologies To Address Refugee Mental Health Get access"
70,Digital health literacy of health care profession students
71,New population health methods require innovative health information business models
72,From Atoms to Bits and Back: A Research Curation on Digital Technology and Agenda for Future Research
73,Digital biomarkers from geolocation data in bipolar disorder and schizophrenia: a systematic review
74,"Harnessing Technology for the Social Good: Empowering Consumers with Immediate Feedback and Self-Directed Means of Care to Address Affordability, Access, and Stigma in Mental Health Get access"
75,Digital Public Health Role in promoting Mores Sustainable Care practices
76,Socio-economic analysis of AED use
77,Accelerated importance of eHealth literacy in the COVID-19 outbreak and beyond
78,"0468 A Multiple Dose, Placebo-Controlled, Randomized Double-Blind, Multicenter Study to Investigate Triprolidine in the Treatment of Temporary Sleep Disturbance"
79,Digital Cardiovascular Health Revolution
80,AGING WORKERS AND GRIT: EXAMINING FACTORS SUPPORTING THEIR CAREER WORK-LIFE EXTENSION EFFORTS IN THE WORKPLACE
81,Social Determinants of Poor Outcomes Following Frostbite Injury: A Study of the National Inpatient Sample Get access
82,Optimization strategies for the organization of mental healthcare
83,Cervical cancer screening information flow in Northern regional administrative service in Portugal
84,Information seeking and knowledge on in-home care services in a representative sample in Switzerland
85,Remote Neuropsychological Assessment in Rural American Indians with and without Cognitive Impairment
86,Healthcare spaces for autism spectrum disorder - removing barriers for mental disability
87,Development of a dictionary for transcultural care in Europe: a deliverable of the TNP project
88,State of quality in the COVID-19 era ‘initiatives and priorities for improving quality in the future’—reflections from the EMR
89,Mental health of staff working in intensive care during Covid-19
90,Digital Data Capture Solutions in Health Care Get access
91,Benefits realization management in the context of a national digital transformation initiative in English provider organizations
92,T100. BELIEFS ABOUT THE SELF AND OTHERS IN PARANOIA
93,Health system resilience and health workforce capacities: health system responses during COVID-19
94,"Global comparison of mitigation and vaccine behaviours, motivators, and communication"
95,Use of the internet and an online personal health record system by US veterans: comparison of Veterans Affairs mental health service users and other veterans nationally
96,Psychosocio-economic impacts of COVID-19 on gastroenterology and endoscopy practice
97,Prioritizing what matters most in digital health research
98,Personal cell phones among children: attitudes of parents of primary school pupils
99,Digital health in a social health insurance system: new emergent market powers in Germany
100,“Take care of yourself”: a psychoeducational tool for adolescents for the mental health promotion (MHP) in the pediatric primary care (PPC)
101,THE USE OF SELF-MANAGEMENT TECHNOLOGY AND HEALTH CARE UTILIZATION IN LATER LIFE
102,Cost-effectiveness of digital cognitive behavioral therapy (Sleepio) for insomnia: a Markov simulation model in the United States
103,Social Work in U.S. Department of Veterans Affairs: Embracing Change in Care Delivery for Veterans during the Pandemic Get access
104,T98. CHARACTERIZING THE CLINICAL COURSE IN SCHIZOPHRENIA WITH DIGITAL PHENOTYPING
105,Computer-Aided Medicine Revolution Get access
106,Informatics competences of registered nurses – does the graduation year matter?
107,Uses and Misuses of Recorded Mental Health Lived Experience Narratives in Healthcare and Community Settings: Systematic Review
108,A public health approach to health workforce policy development in Europe
109,T105. VERBAL MEMORY MEASUREMENT TOWARDS DIGITAL PERSPECTIVES IN FIRST-EPISODE PSYCHOSIS: A SYSTEMATIC REVIEW STUDY
110,Potential application of conversational agents in HIV testing uptake among high-risk populations Get access
111,Virtual care expansion in the Veterans Health Administration during the COVID-19 pandemic: clinical services and patient characteristics associated with utilization
112,Digital Divide Magnified for Older Veterans Living Off the Grid
113,10.G. Workshop: Digital interventions for improving public mental health
114,P040 TEXT MESSAGE-BASED TELEMEDICINE DOES NOT IMPROVE QUALITY OF LIFE OR DEPRESSIVE SYMPTOMS IN IBD PATIENTS
115,Stakeholder consultation to facilitate implementation of interventions for prevention and promotion in mental health in Europe: introducing the design of the ICare Stakeholder Survey
116,The Impact of Refugee Women’s Accommodation on Maternal Health Care Provision
117,Digital phenotyping and sensitive health data: Implications for data governance Get access
118,Connecting Older Adults and Their Families through Social Technology
119,3.E. Workshop: The Role of Digital Public Health in the European Climate Pact and Green deal
120,Artificial intelligence with multi-functional machine learning platform development for better healthcare and precision medicine
121,Health experiences of asylum seekers and refugees in Wales
122,The Health Toll of Import Competition Get access
123,Trends in adolescent mental health problems: Differences by SES and gender
124,REDUCING INTRAINDIVIDUAL VARIABILITY IN COGNITIVE SPEED VIA PRODUCTIVE ACTIVITY ENGAGEMENT: THE SYNAPSE PROJECT
125,A PROCESS TO INTEGRATE GERONTOLOGICAL KNOWLEDGE INTO RESEARCH ON ETHICAL & JUSTICE IMPLICATIONS OF POPULATION AGING
126,Mental data protection and the GDPR
127,Experience Design Studio for Social Connection of Older Adults
128,Achieving Health Equity for Older Adults Through State-of-the-Art Innovations
129,Mental health in the general population over 1 year of the Covid-19 pandemic: findings from Ireland
130,"Hospitalization Pattern, Inpatient Service Utilization and Quality of Care in Patients With Alcohol Use Disorder: A Sequence Analysis of Discharge Medical Records"
131,The diabesity and COVID 19 pandemics association with climate change and the role of Telehealth
132,Continuum beliefs and mental illness stigma: A systematic review and meta-analysis of correlation and Intervention studies
133,European Public Health News
134,"Operational Virtual Health Modalities Increased Combat Power for 1st Squadron, 2nd Cavalry Regiment During the Enhanced Forward Presence Mission"
135,High Cost and Resource Utilization of Frostbite Readmissions in the United States Get access
136,"Public health digitalization in Europe: EUPHA vision, action and role in digital public health"
137,FDA authorizes marketing of video game–based therapy Get access
138,Potential of social media in promoting mental health in adolescents Get access
139,"EQUSUM: Endometriosis QUality and grading instrument for SUrgical performance: proof of concept study for automatic digital registration and classification scoring for r-ASRM, EFI and Enzian"
140,"EQUSUM: Endometriosis QUality and grading instrument for SUrgical performance: proof of concept study for automatic digital registration and classification scoring for r-ASRM, EFI and Enzian"
141,Acceptability of digital health interventions: embracing the complexity
142,Online Training That Changes Family Caregiver Behavior and Attitudes
143,Brief interventions for NCDs risk factors
144,Digital Ageism: Challenges and Opportunities in Artificial Intelligence for Older Adults
145,Re-Booting Effective Clinical Supervision Practices to Support Healthcare Workers Through and Following the COVID-19 Pandemic
146,"Mitigating barriers in communication with migrants, results from a survey among health personnel"
147,Spotlight on tobacco guidance: NICE public health guidance update Get access
148,Accelerating Change How Covid-19 Changed the Industry
149,Letter From AMSUS Executive Director Dr. John Cho
150,Applying a socioecological framework to chronic disease management: implications for social informatics interventions in safety-net healthcare settings
151,Changing landscape of digital communication in travel medicine
152,Real-world insights from launching remote peer-to-peer mentoring in a safety net healthcare delivery setting
153,Looking two steps ahead Get access
154,HEALTHCARE UTILIZATION OF ASSISTED LIVING RESIDENTS ACROSS THE UNITED STATES
155,Association of cyberbullying with depression in high school adolescents
156,"BURDEN OF DEPRESSION, ANXIETY, SUBSTANCE USE DISORDERS, AND ALZHEIMER’S DISEASE AND OTHER DEMENTIAS IN OLDER ADULTS"
157,GAP REDUCE. A research and development project to promote quality of urban life of adult people with autism spectrum disorder
158,The Economic and Health-related Impact of Crohn's Disease in the United States: Evidence from a Nationally Representative Survey
159,Advancing healthcare and biomedical research via new data-driven approaches
160,1.O. Workshop: Building bridges between environmental and Public Mental health
161,COGNITIVE ABILITIES AND ALL-CAUSE MORTALITY: THE VA NORMATIVE AGING STUDY
162,Racial differences in mammographic density in Brazil: implications for mammographic screening
163,Dialogical research to open up new narrative patterns among young women living with severe anxiety
164,Using Digital Technology in the Treatment of Schizophrenia
165,MO885APP BASED DOCUMENTATION AND SUPPORT OF A GERMAN HOME DIALYSIS PROGRAMM - A PILOT STUDY
166,"Healthcare information technology's relativity problems: a typology of how patients' physical reality, clinicians' mental models, and healthcare information technology differ"
167,A Developmentally Appropriate Patient Education during Transition
168,"A scoping review of patient-facing, behavioral health interventions with voice assistant technology targeting self-management and healthy lifestyle behaviors Get access"
169,Training physicians in motivational communication to improve behaviour change counselling competency: A behavioural medicine approach to NCD prevention and management
170,EFFECTIVENESS OF A COLLABORATIVE STEPPED-CARE MODEL FOR OLDER ADULTS WITH DEPRESSION
171,Seeking a pot of gold with integrated behavior therapy and research to improve health equity: insights from the RAINBOW trial for obesity and depression Get access
172,"Identifying patterns in administrative tasks through structural topic modeling: A study of task definitions, prevalence, and shifts in a mental health practice’s operations during the COVID-19 pandemic"
173,Clinicians’ decision making about Parkinson’s treatment plans using self-report vs digital data
174,"Medicalizing the female reproductive cycle in rural Ireland, 1926–56 Get access"
175,Evidence beyond the digital medication pill
176,Stress and perceived discrimination among Israeli Arabs: the mediation role of threat and trust
177,Mental health symptoms as prognostic risk markers of all-cause and psychiatric sickness absence in office workers
178,Homeless people and health: a qualitative enquiry into their practices and perceptions Get access
179,Localising evidence for decision-making: participatory approach to inform schistosomiasis control
180,Another Set of Eyes: Recipients’ Views of the Benefits of Geriatric Specialty Telehealth Services
181,Including public health considerations in trade and investment agreements
182,Telepsychiatry as a Case Study of Presence: Do You Know What You Are Missing?
183,Phenotypes of engagement with mobile health technology for heart rhythm monitoring
184,The Digital Divide Amongst High-Need High-Risk Veterans
185,THE INFLUENCE OF COMORBID HEALTH CONDITIONS AND RACE/ETHNICITY ON ADVANCE CARE PLANNING
186,Systemic resilience and COVID-19: lessons from Taiwan
187,A Strategy Matching Tool for Boosting Implementation of Geriatric Telehealth Services in Rural CBOCs
188,Adaptive learning algorithms to optimize mobile applications for behavioral health: guidelines for design decisions Get access
189,THE ROLE OF EHEALTH FOR STRENGTHENING CARE FOR OLDER PEOPLE WITH MULTIMORBIDITY IN EUROPE
190,Society of Behavioral Medicine (SBM) urges Congress to ensure efforts to increase and enhance broadband internet access in rural areas Get access
191,"Understanding Technology Adoption, Troubleshooting, and Telehealth Among the Lifestyle Leaders"
192,T57. MOBILE APPLICATIONS FOR PSYCHOSIS AND OTHER MENTAL ILLNESSES: AN ASIAN CONTEXT
193,Data resource profile: Clinical Practice Research Datalink (CPRD) Aurum
194,Prevention of mental health effects by climate change and environmental drivers
195,6.P. Round table: Strengthening refugee aid workers resilience during the pandemic and beyond
196,Assessing communication during remote follow-up of users with pacemakers
197,Assessing and piloting interoperability for population health research
198,Remote orthopaedic consultations for primary care patients by a large-scale telemedicine service
199,Social innovation for the promotion of health equity
200,"HOME AND COMMUNITY HEALTHCARE FOR FRAIL OLDER ADULTS: A PATIENT, CAREGIVER, AND PRACTITIONER PERSPECTIVE"
201,A roadmap for cardiovascular care after release from incarceration: uses of a smartphone application Get access
202,The ecopsychosocial provision for psychiatric environments
203,"0855 Insomnia Severity Predicts Depression, Anxiety, and PTSD in Veterans with Spinal Cord Injury or Disease"
204,Yoga could reduce the burden and symptoms of atrial fibrillation as well as medication related side effects and the complications with cardiac ablation
205,What can health systems learn from COVID-19?
206,Unguided online Cognitive Behavioral Therapy for insomnia in General Practice: a mixed method study
207,Predicting user adherence to behavioral eHealth interventions in the real world: examining which aspects of intervention design matter most Get access
