,Title
0,Digital privacy in mental healthcare: current issues and recommendations for technology use
1,The effectiveness of mental health disorder stigma-reducing interventions in the healthcare setting: An integrative review
2,iHealth: The ethics of artificial intelligence and big data in mental healthcare
3,COVID-19 and mental disorders in healthcare Personnel: A novel framework to develop Personas from an online survey
4,Interventions to address mental health issues in healthcare workers during infectious disease outbreaks: A systematic review
5,The effect of depression and anxiety symptom severity on clinical outcomes and app use in digital mental health treatments: Meta-regression of three trials
6,The role of social support and resilience in the mental health impact of the COVID-19 pandemic among healthcare workers in Spain
7,Online consultations in mental healthcare during the COVID-19 outbreak: An international survey study on professionals' motivations and perceived barriers
8,Editorial: Digital Interventions in Mental Health
9,A survey on big data-driven digital phenotyping of mental health
10,Key indicators of ethical challenges in digital healthcare: A combined Delphi exploration and confirmative factor analysis approach with evidence from Khorasan province in Iran
11,Making mental health more accessible in light of COVID-19: Scalable digital health with digital navigators in low and middle-income countries
12,Digitalization and co-creation of healthcare value: A case study in Occupational Health
13,Adolescent dropout from brief digital mental health interventions within and beyond randomized trials
14,The use and impact of digital technologies for and on the mental health and wellbeing of Indigenous people: A systematic review of empirical studies
15,Crowdsourcing to design a marketing package to promote a WHO digital mental health intervention among Chinese young adults
16,The emergence of digital mental health in low-income and middle-income countries: A review of recent advances and implications for the treatment and prevention of mental disorders
17,Digitalized social support in the healthcare environment: Effects of the types and sources of social support on psychological well-being
18,Jamaican adolescents' receptiveness to digital mental health services: A cross-sectional survey from rural and urban communities
19,Empathic conversational agents for real-time monitoring and co-facilitation of patient-centered healthcare
20,A tale of two countries: Increased uptake of digital mental health services during the COVID-19 pandemic in Australia and New Zealand
21,Experiences of Canadian mental health providers in identifying and responding to online and in-person sexual abuse and exploitation of their child and adolescent clients
22,The role of 5G for digital healthcare against COVID-19 pandemic: Opportunities and challenges
23,Predictors of physical activity recording in routine mental healthcare
24,Children’s conceptions of mental well-being and ideas for its promotion through digital environments
25,Digital healthcare technology adoption by elderly people: A capability approach model
26,Effectiveness of guided Internet-delivered treatment for major depression in routine mental healthcare - An open study
27,Psychological stress self-help interventions for healthcare workers in the context of COVID-19 in China: A randomized controlled trial protocol
28,"Reflections on the design, implementation, and adoption of a gamified eHealth application in youth mental healthcare"
29,Delivery of perinatal mental health services by training lay counselors using digital platforms
30,"Mental health professionals' perceptions, judgements and decision-making practices regarding the use of electronic cigarettes as a tobacco harm reduction intervention in mental healthcare: A qualitative focus group study"
31,Dropping the E: The potential for integrating e-mental health in psychotherapy
32,Mapping the rise of digital mental health technologies: Emerging issues for law and society
33,Business models for sustainable commercialisation of digital healthcare (eHealth) innovations for an increasingly ageing population
34,Exploring medical students' views on digital mental health interventions: A qualitative study
35,Strategies to improve access to mental health services: Perspectives of African migrants and service providers in South Australia
36,SHIFTing artificial intelligence to be responsible in healthcare: A systematic review
37,Classification of SmartMentalTech Services and Application for Comprehensive Mental Healthcare Stepped-Care Model (CMHSCM): Health Psychological Approach
38,Qualitative study of candidacy and access to secondary mental health services during the COVID-19 pandemic
39,"A qualitative exploration of perceived needs and barriers of individuals with schizophrenia, caregivers and clinicians in using mental health applications in Madhya Pradesh, India"
40,"Medical 4.0 technologies for healthcare: Features, capabilities, and applications"
41,Caring for care: Online feedback in the context of public healthcare services
42,The effect of Covid-19 in digital media use of Finnish physicians – Four wave longitudinal panel survey
43,The role of digital health for post-surgery care of older patients with hip fracture: A scoping review
44,"mHealth technology to assess, monitor and treat daily functioning difficulties in people with severe mental illness: A systematic review"
45,Mental health monitoring apps for depression and anxiety in children and young people: A scoping review and critical ecological analysis
46,The impact of mental health support for the chronically ill on hospital utilisation: Evidence from the UK
47,Health digital state and Smart EHR systems
48,"Non-negative matrix factorization temporal topic models and clinical text data identify COVID-19 pandemic effects on primary healthcare and community health in Toronto, Canada"
49,"Structural barriers to refugee, asylum seeker and undocumented migrant healthcare access. Perceptions of Doctors of the World caseworkers in the UK"
50,Diagnostic prediction model development using data from dried blood spot proteomics and a digital mental health assessment to identify major depressive disorder among individuals presenting with low mood
51,Associations between probable eating disorders and healthcare use among post-9/11 veteran men and women
52,Using apps for bipolar disorder – An online survey of healthcare provider perspectives and practices
53,"Anxiety, depression, trauma-related, and sleep disorders among healthcare workers during the COVID-19 pandemic: A systematic review and meta-analysis"
54,Human factors in mental healthcare: A work system analysis of a community-based program for older adults with depression and dementia
55,Reducing the stigma of mental health disorders with a focus on low- and middle-income countries
56,Healthcare professionals’ implementation of national guidelines with patients who self-harm
57,Unbundling the significance of cognitive robots and drones deployed to tackle COVID-19 pandemic: A rapid review to unpack emerging opportunities to improve healthcare in sub-Saharan Africa
58,A multi-faceted approach to characterizing user behavior and experience in a digital mental health intervention
59,Mapping research strands of ethics of artificial intelligence in healthcare: A bibliometric and content analysis
60,Robotics and artificial intelligence in healthcare during COVID-19 pandemic: A systematic review
61,The DIAMONDS intervention to support self-management of type 2 diabetes in people with severe mental illness: Study protocol for a single-group feasibility study
62,Blockchain and quantum blind signature-based hybrid scheme for healthcare 5.0 applications
63,AI in mental health
64,The Impact of the Digital Divide on the Perceived Interest of an e-Marketplace to Support Healthcare and Social Care Services
65,"Digital Gaming Interventions in Psychiatry: Evidence, Applications and Challenges"
66,The Cultivation of Digital Health Citizenship
67,The state of mental digi-therapeutics: A systematic assessment of depression and anxiety apps available for Arabic speakers
68,"Prevalence of depression, anxiety, and insomnia among healthcare workers during the COVID-19 pandemic: A systematic review and meta-analysis"
69,Towards better healthcare: What could and should be automated?
70,"Use of smartphones, mobile apps and wearables for health promotion by people with anxiety or depression: An analysis of a nationally representative survey data"
71,Determinants of consumer acceptance of mobile healthcare devices: An application of the concepts of technology acceptance and coolness
72,The impact of the COVID-19 pandemic and its related restrictions on people with pre-existent mental health conditions: A scoping review
73,"Prevalence of psychological morbidities among general population, healthcare workers and COVID-19 patients amidst the COVID-19 pandemic: A systematic review and meta-analysis"
74,An intelligent healthcare monitoring framework using wearable sensors and social networking data
75,Changing healthcare professionals' non-reflective processes to improve the quality of care
76,Implementing National Mental Health Program: Local leaders’ perspectives and lessons for national action
77,"Digital professionalism on social media: A narrative review of the medical, nursing, and allied health education literature"
78,Problematic use of the internet during the COVID-19 pandemic: Good practices and mental health recommendations
79,Mental health of Health Care Workers (HCWs): a review of organizational interventions put in place by local institutions to cope with new psychosocial challenges resulting from COVID-19
