,Title
0,Mitigating the Psychological Impact of COVID-19 on Healthcare Workers: A Digital Learning Package
1,Gamification in Healthcare: Perspectives of Mental Health Service Users and Health Professionals
2,Burnout among healthcare providers during COVID-19: Challenges and evidence-based interventions.
3,Generation and evaluation of artificial mental health records for Natural Language Processing
4,Digital psychotherapy as an effective and timely treatment option for depression and anxiety disorders: Implications for rural and remote practice
5,Digital Psychiatry: Risks and Opportunities for Public Health and Wellbeing
6,Virtual reality – a valuable tool to advance treatment of mental disorders
7,Mapping mental healthcare professionals’ journey towards digital mental health adoption: A qualitative study
8,How Have Public Safety Personnel Seeking Digital Mental Healthcare Been Affected by the COVID-19 Pandemic? An Exploratory Mixed Methods Study
9,Towards Using AI to Augment Human Support in Digital Mental Healthcare
10,Untangling multi-stakeholder perspectives in digital mental healthcare
11,Opportunities for Using Agent-Based Social Simulation and Fuzzy Logic to Improve the Understanding of Digital Mental Healthcare Scenarios
12,Augmented Reality for Accessible Digital Mental Healthcare
13,A mixed methods evaluation of the current state of perinatal mental healthcare and users’ acceptability of a digital assessment for perinatal mental health
14,Digital Shared Decision-Making Interventions in Mental Healthcare: A Systematic Review and Meta-Analysis
15,Digital privacy in mental healthcare: current issues and recommendations for technology use
16,Technology Matters: The human touch in a digital age - a blended approach in mental healthcare delivery with children and young people.
17,Mapping mental health professionals’ perspectives and practices regarding the implementation of Digital Mental Health: a qualitative study (Preprint)
18,Digital Phenotyping as a Tool for Personalized Mental Healthcare
19,Predicting therapy outcome in a digital mental health intervention for depression and anxiety: A machine learning approach
20,A critique of digital mental health via assessing the psychodigitalisation of the COVID‐19 crisis
21,Cybersecurity: A Critical Priority for Digital Mental Health
22,"Cross cultural and global uses of a digital mental health app: results of focus groups with clinicians, patients and family members in India and the United States"
23,It’s Time to Relax: The Critical Importance of Digital Mental Health Products in the Context of Surveillance Capitalism
24,Implementing a digital mental health intervention for individuals with psychosis - a multi-country qualitative study
25,Predicting Therapy Outcome in a Digital Mental Health Intervention for Depression and Anxiety: A Machine Learning Approach (Preprint)
26,Opportunities for Using Agent-Based Social Simulation and Fuzzy Logic to Improve the Understanding of Digital Mental Healthcare Scenarios
27,Implementing Digital Trainings within Medical Rehabilitations: Improvement of Mental Health and Synergetic Outcomes with Healthcare Service
28,Interest and readiness for digital mental health in coordinate specialty care for early course psychosis: A survey study of 42 programs in 30 states
29,Implementing a Digital Mental Health Intervention for Individuals With Psychosis - A Multi-country Qualitative Study
30,Digital mental health apps and the therapeutic alliance: initial review
31,Initial quantitative development of the Norse Feedback system: a novel clinical feedback system for routine mental healthcare
32,Applications of Machine Learning in Mental Healthcare
33,Emotion Recognition-Based Mental Healthcare Chat-bots: A Survey
34,Maslow’s hammer: considering the perils of solutionism in mental healthcare and psychiatric practice
35,"[""Mirror, mirror on the wall"", the issue of digital technology in adolescent mental healthcare]."
36,Reconsidering the ethics of exclusion criteria in research on digital mental health interventions
37,Creating a Digital Health Smartphone App and Digital Phenotyping Platform for Mental Health and Diverse Healthcare Needs: an Interdisciplinary and Collaborative Approach
38,Human-Computer Interaction in Digital Mental Health
39,Artificial Intelligence in Digital Mental Health
40,Digital mental health apps and the therapeutic alliance: initial review
41,Initial quantitative development of the Norse Feedback system: a novel clinical feedback system for routine mental healthcare
42,Applications of Machine Learning in Mental Healthcare
43,Emotion Recognition-Based Mental Healthcare Chat-bots: A Survey
44,Maslow’s hammer: considering the perils of solutionism in mental healthcare and psychiatric practice
45,"[""Mirror, mirror on the wall"", the issue of digital technology in adolescent mental healthcare]."
46,Reconsidering the ethics of exclusion criteria in research on digital mental health interventions
