1 of 464



Result File: Babes in the Jungle.txt res
['babe', 'NOUN', '1']
['jungle', 'NOUN', '1']
['o', 'X', '1']
['henry', 'NOUN', '1']
['montague', 'NOUN', '1']
['silver', 'NOUN', '29']
['fine', 'ADJ', '1']
['street', 'NOUN', '5']
['man', 'NOUN', '7']
['art', 'NOUN', '3']
['grafter', 'NOUN', '1']
['west', 'NOUN', '5']
['little', 'ADJ', '8']
['rock', 'NOUN', '5']
['lose', 'VERB', '1']
['mind', 'NOUN', '1']
['billy', 'ADV', '8']
['old', 'ADJ', '3']
['honest', 'ADJ', '1']
['swindling', 'VERB', '1']
['grown', 'VERB', '1']
['new', 'ADJ', '9']
['york', 'NOUN', '6']
['sucker', 'NOUN', '1']
['bear', 'NOUN', '1']
['minute', 'NOUN', '1']
['appear', 'VERB', '2']
['chunk', 'NOUN', '1']
['roe', 'NOUN', '1']
['count', 'VERB', '1']
['year', 'NOUN', '2']
['afterward', 'ADV', '1']
['find', 'VERB', '2']
['remember', 'VERB', '1']
['russian', 'ADJ', '1']
['admiral', 'ADJ', '2']
['notice', 'NOUN', '1']
['gray', 'ADJ', '1']
['hair', 'NOUN', '2']
['left', 'VERB', '2']
['ear', 'X', '1']
['know', 'VERB', '16']
['time', 'NOUN', '3']
['arrive', 'ADJ', '1']
['advice', 'NOUN', '1']
['strike', 'NOUN', '1']
['noon', 'NOUN', '1']
['day', 'NOUN', '5']
['walk', 'VERB', '5']
['broadway', 'PROPN', '2']
['run', 'VERB', '2']
['encompass', 'NOUN', '1']
['spacious', 'ADJ', '1']
['kind', 'ADJ', '5']
['haberdashery', 'ADJ', '1']
['lean', 'ADJ', '1']
['hotel', 'NOUN', '6']
['rub', 'INTJ', '1']
['halfmoon', 'NOUN', '1']
['nail', 'NOUN', '2']
['silk', 'NOUN', '1']
['handkerchief', 'NOUN', '1']
['paresis', 'NOUN', '1']
['superannuate', 'NOUN', '1']
['ask', 'VERB', '6']
['hello', 'INTJ', '1']
['glad', 'ADJ', '2']
['yes', 'INTJ', '2']
['accumulate', 'NOUN', '1']
['wiseness', 'ADJ', '1']
['save', 'VERB', '1']
['dessert', 'NOUN', '1']
['lowdown', 'VERB', '1']
['trick', 'NOUN', '1']
['thing', 'NOUN', '2']
['people', 'NOUN', '9']
['pass', 'VERB', '1']
['fro', 'ADJ', '1']
['think', 'VERB', '5']
['anon', 'NOUN', '1']
['hate', 'VERB', '2']
['mother', 'NOUN', '1']
['skin', 'NOUN', '2']
['weakmind', 'ADJ', '1']
['raise', 'VERB', '1']
['good', 'ADJ', '3']
['crush', 'NOUN', '1']
['wait', 'VERB', '3']
['room', 'NOUN', '3']
['doctor', 'NOUN', '1']
['graft', 'NOUN', '1']
['need', 'VERB', '1']
['epidermis', 'NOUN', '1']
['win', 'NOUN', '1']
['today', 'NOUN', '3']
['month', 'NOUN', '3']
['ready', 'ADJ', '2']
['begin', 'VERB', '4']
['member', 'NOUN', '1']
['willie', 'NOUN', '1']
